path,category,flavor,tracked_status,top_level_keys,n_scalar_params,seed_keys,hardware_keys
configs/embedding/gemini_embedding2_v2_main.api_smoke10.tmp.json,embedding,tmp,local_or_ignored,api_key;api_key_file;cache_dir;dry_run;limit;max_seconds;max_workers;metadata;model_id;out;output_dimensionality;skip_errors;target_sample_rate;task_type;vertex_location;vertex_project;vertexai,17,,max_workers=16;vertexai=False;vertex_project=None;vertex_location=None
configs/embedding/gemini_embedding2_v2_main.example.json,embedding,example,tracked,api_key;api_key_file;cache_dir;dry_run;limit;max_seconds;max_workers;metadata;model_id;out;output_dimensionality;skip_errors;target_sample_rate;task_type;vertex_location;vertex_project;vertexai,17,,vertexai=False;vertex_project=None;vertex_location=None;max_workers=8
configs/embedding/gemini_embedding2_v2_main.local.example.json,embedding,example,tracked,api_key;api_key_file;cache_dir;dry_run;limit;max_seconds;max_workers;metadata;model_id;out;output_dimensionality;skip_errors;target_sample_rate;task_type;vertex_location;vertex_project;vertexai,17,,vertexai=False;vertex_project=None;vertex_location=None;max_workers=8
configs/embedding/gemini_embedding2_v2_main.local.json,embedding,local,local_or_ignored,api_key;api_key_file;cache_dir;dry_run;limit;max_seconds;max_workers;metadata;model_id;out;output_dimensionality;skip_errors;target_sample_rate;task_type;vertex_location;vertex_project;vertexai,17,,max_workers=8;vertexai=False;vertex_project=None;vertex_location=None
configs/embedding/gemini_embedding2_v2_main.smoketest.local.json,embedding,local,local_or_ignored,api_key;api_key_file;cache_dir;dry_run;limit;max_seconds;max_workers;metadata;model_id;out;output_dimensionality;skip_errors;target_sample_rate;task_type,14,,max_workers=8
configs/embedding/gemini_embedding2_v2_main.vertex_express_smoke.tmp.json,embedding,tmp,local_or_ignored,api_key;api_key_file;cache_dir;dry_run;limit;max_seconds;max_workers;metadata;model_id;out;output_dimensionality;skip_errors;target_sample_rate;task_type;vertex_location;vertex_project;vertexai,17,,max_workers=1;vertexai=True;vertex_project=None;vertex_location=None
configs/embedding/gemini_embedding2_v2_main.vertex_smoke.tmp.json,embedding,tmp,local_or_ignored,api_key;api_key_file;cache_dir;dry_run;limit;max_seconds;max_workers;metadata;model_id;out;output_dimensionality;skip_errors;target_sample_rate;task_type;vertex_location;vertex_project;vertexai,17,,max_workers=1;vertexai=True;vertex_project=None;vertex_location=us-central1
configs/embedding/gemini_embedding2_v3_main.api_fullrun.tmp.json,embedding,tmp,local_or_ignored,api_key;api_key_file;cache_dir;dry_run;limit;max_seconds;max_workers;metadata;model_id;out;output_dimensionality;skip_errors;target_sample_rate;task_type;vertex_location;vertex_project;vertexai,17,,vertexai=False;vertex_project=None;vertex_location=None;max_workers=8
configs/embedding/gemini_embedding2_v3_main.api_smoke.tmp.json,embedding,tmp,local_or_ignored,api_key;api_key_file;cache_dir;dry_run;limit;max_seconds;max_workers;metadata;model_id;out;output_dimensionality;skip_errors;target_sample_rate;task_type;vertex_location;vertex_project;vertexai,17,,vertexai=False;vertex_project=None;vertex_location=None;max_workers=1
configs/embedding/gemini_embedding2_v3_main.example.json,embedding,example,tracked,api_key;api_key_file;cache_dir;dry_run;limit;max_seconds;max_workers;metadata;model_id;out;output_dimensionality;skip_errors;target_sample_rate;task_type;vertex_location;vertex_project;vertexai,17,,vertexai=False;vertex_project=None;vertex_location=None;max_workers=8
